@relation poblaciones

@attribute c0 {0, 1}
@attribute c1 {0, 1}
@attribute c2 {0, 1}
@attribute c3 {0, 1}
@attribute c4 {0, 1}
@attribute c5 {0, 1}
@attribute c6 {0, 1}
@attribute c7 {0, 1}
@attribute c8 {0, 1}
@attribute c9 {0, 1}
@attribute mutationProb numeric
@attribute refoodCap numeric
@attribute alimentCost numeric
@attribute movementCap numeric
@attribute generation integer
@attribute size integer
@attribute success {no, yes}

@data
0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0.3209, 3.1963, -0.7872, 1.8067, 6, 1, no
0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1.2854, 4.2778, -1.8687, 1.6981, 6, 1, no
0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 2.0684001, 4.7566, -3.7958999, 2.0424001, 6, 1, no
1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2.0242, 4.4077997, -3.9784, 1.9307, 6, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1.4345001, 4.7514997, -3.6347, 2.9130998, 6, 1, no
0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1.7595, 5.4678, -2.3713002, 2.1499996, 6, 1, no
0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1.1057001, 4.0511, -2.9861, 1.7507999, 6, 1, no
0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1.6411, 6.0372, -2.9407003, 2.6871996, 6, 1, no
1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1.395, 2.9397998, -2.5103998, 0.8088, 6, 1, no
0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0.6722, 6.2045994, -3.1081002, 3.2094, 6, 1, no
1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0.80570006, 4.2334, -2.3555999, 1.2481999, 6, 1, no
0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1.6411, 6.0372, -2.9407003, 2.6871996, 6, 1, no
1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1.1721002, 5.6826997, -5.2532997, 3.3009999, 6, 1, no
1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1.4345001, 4.7514997, -3.6347, 2.9130998, 6, 1, no
1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1.4545, 4.3732996, -2.4955, 1.0409, 6, 1, no
0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1.5200001, 3.6985, -2.7378001, 1.6564, 6, 1, no
1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1.4525001, 5.1003, -3.9835, 2.9691997, 6, 1, no
0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1.5975001, 5.4807997, -3.0717, 1.9445999, 6, 1, no
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.7172, 1.1893001, -0.1243, 0.3548, 7, 1, no
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0.7172, 1.1893001, -0.1243, 0.3548, 7, 1, no
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.27789998, 1.3567, -0.823, 0.82140005, 7, 8, yes
